crop_id,crop_name,crop_category,variety_name,growing_season,maturity_days,optimal_temp_min,optimal_temp_max,water_requirement,soil_ph_min,soil_ph_max,nitrogen_requirement_lbs_per_acre,phosphorus_requirement_lbs_per_acre,potassium_requirement_lbs_per_acre,expected_yield_per_acre,yield_unit,market_price_per_unit,is_active,created_timestamp
66825,rice,pulse,Graham Haley,autumn,10793,8681,4181,high,25,456,31868,15659,13457,19503,bushels,83.66,TRUE,2008-12-03 18:21:18+07:00
66826,rice,vegetable,Ms. Anette Blanda,autumn,30487,8230,321,high,579,612,8563,16478,8183,8068,pounds,4310.42,TRUE,2011-11-16 00:17:32-09:00
66827,wheat,grain,Lance Graham,winter,1844,8158,7788,high,248,211,19587,25800,16155,12746,bushels,4659.49,TRUE,2029-09-24 02:23:11-02:00
66828,soyabean,grain,Marcelo Block,winter,20821,2580,8357,low,104,384,9507,24337,4752,31187,bushels,3876.23,TRUE,2008-09-19 22:26:26+14:00
66829,rice,pulse,Erick Robel,spring,31907,7918,1383,medium,896,220,3393,10157,1870,28387,bushels,6362.88,TRUE,2020-07-26 17:54:56-03:00
66830,sugarcane,pulse,Melvin Effertz,winter,24145,883,9740,low,80.9,28.2,4882,14359,25138,2260,kg,1457.35,true,2019-11-03 10:56:09-02:00
66831,wheat,vegetable,Krysten Zemlak,autumn,27234,8557,5353,medium,52.1,44.6,3950,27854,3482,17975,pounds,7634.61,true,2028-06-17 09:03:17+03:00
66832,wheat,vegetable,Sherrie Terry IV,winter,8890,8351,4386,medium,96.2,49.7,9656,13726,9592,18673,bushels,1906.44,false,2010-12-06 13:01:08-11:00
66833,sugarcane,fruit,Adrian Gibson,spring,24296,6272,2917,low,73.7,23.5,6801,15449,6110,3885,kg,7753.57,true,2012-10-20 23:36:12-05:00
66834,soyabean,fiber,Kelley Crooks,summer,30860,940,1976,high,79.1,78.1,22812,10667,8731,30206,pounds,8106.85,false,2000-05-20 17:15:05-05:00
66835,barley,vegetable,Dr. Clarita Nitzsche,spring,26129,9869,7360,high,52.4,95.8,16396,20213,23725,14264,bushels,537.47,false,2001-12-17 07:43:59-09:00
66836,sugarcane,grain,Domingo Wilkinson,spring,28441,3028,7608,medium,96.8,9.3,22146,4116,27656,23457,bushels,4632.78,true,2015-06-27 09:12:22-11:00
66837,barley,fiber,Reiko Klein,winter,20274,833,5636,medium,61.9,37.8,10462,2862,8615,27410,kg,1257.47,true,2000-02-12 03:23:21+04:00
66838,wheat,grain,Cornelius Walker I,winter,29656,7313,7049,medium,53.6,68.8,25633,32450,24145,26831,bushels,8405.51,false,2017-07-11 09:05:30+11:00
66839,wheat,fiber,Ophelia Cormier,autumn,24722,3791,2401,high,10.2,60.4,14571,29707,6273,25282,bushels,8179.04,false,2029-07-26 06:12:41+05:00
66840,barley,pulse,Vincent Borer,spring,23600,1118,7813,high,66.7,64.2,2775,29235,18269,31237,kg,5493.04,true,2001-04-24 22:17:22+03:00
66841,wheat,fiber,Von Baumbach DDS,winter,22155,2417,2508,medium,43.8,91.3,10777,23244,10734,24045,pounds,605.56,false,2020-10-10 11:40:17+14:00
66842,soyabean,pulse,Dr. Frida Watsica,spring,20142,3192,3198,medium,35.4,11.1,9895,6234,24580,11655,kg,76.96,true,2023-07-04 15:44:14+06:00
66843,wheat,grain,Ivory Schiller Sr.,winter,31303,3957,8783,low,9.7,31.3,4950,6085,4800,1228,kg,2564.46,true,2015-01-09 20:03:51+04:00
66844,barley,grain,Ms. Janelle O'Reilly,autumn,6099,4529,9559,medium,86.7,74.9,30818,20311,20928,14874,kg,7690.10,true,2014-06-22 02:52:45+11:00
66845,rice,vegetable,Shayne Runolfsson,winter,16952,6624,7117,high,12.6,83.5,329,30541,20188,27305,pounds,2589.30,true,2029-09-05 19:25:58+03:00
66846,rice,grain,Trudi Brown,summer,28904,6727,8611,medium,89.3,31.1,546,22561,28043,29197,kg,6564.83,true,2028-10-22 16:26:36-03:00
66847,barley,pulse,Dr. Lena Labadie,summer,28704,6928,3527,low,94.1,50.3,24720,6348,24713,16819,bushels,8199.60,true,2020-10-28 14:48:46+13:00
66848,wheat,vegetable,Lester Bechtelar,spring,6105,3784,4853,medium,90.4,95.4,18042,17016,13229,11079,bushels,5562.36,true,2021-09-26 19:25:24+08:00
66849,sugarcane,pulse,Kimbery Pfannerstill IV,spring,9355,1549,1851,low,17.4,96.3,5874,6186,9734,11503,pounds,3476.71,true,2021-11-03 16:44:32-05:00
66850,sugarcane,fruit,Ettie Ward MD,spring,18435,8795,5923,low,59.0,84.8,5734,16333,16882,29174,kg,5195.01,false,2023-05-03 08:56:07-03:00
66851,rice,fruit,Catherina Swift,summer,24208,9988,7357,medium,92.4,82.1,24194,19766,16587,18228,bushels,8924.85,true,2017-11-22 05:08:48+05:00
66852,wheat,fruit,Roman Bernhard,winter,2221,2079,5775,low,79.6,9.8,6047,18128,2477,15785,pounds,6004.88,true,2030-11-18 18:15:19-06:00
66853,rice,pulse,Shelby Schneider,autumn,10154,1609,595.3,high,64.9,69.3,5818,19193,23396,4327,pounds,968.84,true,2014-04-09 18:14:40+01:00
66854,barley,fruit,Shirely McGlynn,winter,22720,4098,715.5,high,57.0,47.8,24720,20845,19565,3280,kg,604.38,true,2023-11-14 12:25:28+09:00
66855,wheat,fiber,Todd Yost PhD,summer,19898,5796,555.9,low,33.4,16.7,16340,20660,1656,3006,pounds,9881.16,false,2004-09-01 19:01:25+07:00
66856,sugarcane,grain,Ty Kulas,winter,6413,4885,326.8,low,66.4,39.5,10528,6372,541,3623,pounds,7377.18,true,2007-11-26 04:51:14+14:00
66857,soyabean,fruit,Tamela Kuhic,winter,2063,1088,489.8,medium,26.8,73.5,28319,10642,6044,10843,bushels,7591.80,true,2030-06-09 22:09:11+09:00
66858,sugarcane,pulse,Everett Rogahn,summer,11834,319.9,231.7,medium,93.1,81.0,16882,29049,29273,23272,pounds,3825.77,false,2005-01-12 19:34:56+03:00
66859,sugarcane,grain,Cesar Sanford I,autumn,32260,144.6,497.9,high,57.0,58.7,13014,16352,31522,25007,kg,3184.11,false,2004-09-01 04:23:15-08:00
66860,sugarcane,vegetable,Beau Torphy,autumn,27466,945.5,980.7,high,11.1,84.4,12538,26594,3334,20210,bushels,256.77,true,2010-02-16 11:41:32-10:00
66861,wheat,fruit,Moira Kuhic,autumn,14513,474.2,419.2,low,88.4,62.0,23681,8568,962,28214,kg,3421.31,true,2000-09-10 05:00:29+02:00
66862,rice,vegetable,Genia Schroeder,summer,7855,824.9,936.8,high,36.6,94.7,5030,1106,4607,5859,pounds,2623.76,true,2019-07-05 09:25:59-07:00
66863,wheat,vegetable,Mariette Windler II,spring,24879,589.3,491.7,high,86.2,53.2,10382,122,13879,8967,kg,7414.93,false,2004-12-22 21:36:57+11:00
