id,from_account_id,to_account_id,amount,transaction_type,status,description,created_at,updated_at
100000,100000,100000,1512.63,refund,PENDING,Now is the winter of,2007-12-26 20:25:26,2024-04-27 09:45:53
100001,100001,100001,2887.23,debit,PENDING,For you and I are pa,2019-05-27 00:30:24,2021-05-07 12:46:45
100002,100002,100002,7505.27,refund,PENDING,Off with his head!,2003-01-27 13:41:39,2024-04-17 10:02:12
100003,100003,100003,2946.02,debit,PENDING,Off with his head!,2011-04-26 00:06:55,2012-07-10 11:43:20
100004,100004,100004,6193.62,credit,PENDING,For ever and a day.,2022-02-24 05:48:36,2003-06-29 03:52:56
100005,100005,100005,6383.42,debit,PENDING,True is it that we h,2013-06-22 15:08:36,2019-04-29 11:26:50
100006,100006,100006,9917.28,debit,PENDING,Rich gifts wax poor ,2017-09-07 04:26:33,2002-11-25 10:22:19
100007,100007,100007,892.63,debit,PENDING,Do you think I am ea,2023-02-12 07:31:22,2010-01-10 16:02:01
100008,100008,100008,6406.49,refund,PENDING,Do you think I am ea,2024-07-16 17:39:43,2014-02-17 07:41:51
100009,100009,100009,3132.55,debit,PENDING,"See, how she leans h",2008-02-15 23:22:33,2008-02-27 07:35:36
100010,100010,100010,861.44,credit,PENDING,"Good Night, Good nig",2013-06-24 16:28:03,2018-11-23 03:51:30
100011,100011,100011,1418.75,credit,PENDING,How bitter a thing i,2015-03-14 10:59:37,2012-07-20 10:25:55
100012,100012,100012,9036.16,refund,PENDING,What's in a name? Th,2009-12-03 18:15:18,2007-03-30 03:30:13
100013,100013,100013,9611.30,debit,PENDING,Can one desire too m,2018-11-07 10:39:54,2024-09-23 11:20:52
100014,100014,100014,2591.29,credit,PENDING,A horse! a horse! my,2013-04-28 07:39:45,2005-07-12 00:34:36
100015,100015,100015,2139.94,debit,PENDING,True is it that we h,2020-03-04 12:20:53,2017-08-23 06:49:22
100016,100016,100016,6113.84,refund,PENDING,An honest tale speed,2010-07-25 18:52:24,2022-06-24 19:50:52
100017,100017,100017,1969.48,debit,PENDING,Though this be madne,2017-10-09 03:05:24,2012-03-23 00:33:17
100018,100018,100018,6794.86,debit,PENDING,True is it that we h,2003-09-26 11:23:43,2013-04-20 13:13:24
100019,100019,100019,7697.72,credit,PENDING,All the world 's a s,2021-06-16 16:21:47,2010-06-15 22:12:42
100020,100020,100020,9944.01,refund,PENDING,How bitter a thing i,2024-09-08 20:15:10,2019-01-13 15:10:36
100021,100021,100021,3871.67,refund,PENDING,Conscience is but a ,2021-04-15 10:06:15,2007-07-17 06:02:21
