merchant_category,transaction_id,customer_id,payment_method,location,is_fraud,transaction_amount,timestamp
entertainment,TR97922,C9861,UPI,Porttj,1,19.84,2025-08-08 19:55:19
entertainment,TR32023,C5602,UPI,Sout,1,19.85,2025-03-27 16:16:01
grocery,TR53218,C0050,UPI,Flatleybu,1,19.83,2025-03-06 22:18:28
entertainment,TR92025,C2100,UPI,Lynseylan,1,19.82,2025-04-14 11:40:22
grocery,TR62559,C6420,UPI,Eastjvasi,1,19.82,2025-06-07 02:10:25
clothing,TR83995,C9957,UPI,Eldridget,1,19.81,2025-04-11 08:06:30
grocery,TR61326,C2500,UPI,Thielfo,1,19.81,2025-05-14 17:10:58
grocery,TR90852,C9004,UPI,Boriss,1,19.8,2025-04-25 08:34:13
grocery,TR62558,C1000,UPI,Jerd,1,19.84,2025-04-01 03:47:15
entertainment,TR74251,C6907,UPI,Eastss,1,20.11,2025-03-01 23:08:27
electronics,TR29934,C3420,UPI,Northz,1,19.85,2025-08-20 01:07:38
grocery,TR33482,C5102,UPI,Madie,1,19.9,2025-03-04 21:12:56
entertainment,TR96266,C2383,UPI,Alle,1,20.0,2025-05-08 08:19:30
grocery,TR34929,C3002,UPI,East,1,20.12,2025-03-14 01:08:09
grocery,TR55230,C2568,UPI,Lake,1,19.9,2025-07-23 20:41:33
grocery,TR18062,C2008,UPI,Rosendo,1,20.02,2025-04-07 19:50:23
electronics,TR68256,C7143,UPI,Marit,1,20.0,2025-03-31 18:32:05
entertainment,TR93341,C5000,UPI,Newwashap,1,19.89,2025-05-16 12:55:08
grocery,TR48400,C1200,UPI,Dianem,1,19.86,2025-06-16 23:48:31
clothing,TR84173,C7608,UPI,Lakefb,1,19.93,2025-04-24 05:43:59
grocery,TR83794,C8020,UPI,Northa,1,20.04,2025-03-09 03:35:09
clothing,TR65136,C9000,UPI,Gusi,1,20.11,2025-05-09 07:32:38
grocery,TR76526,C5680,UPI,North,1,20.01,2025-07-01 14:11:57
grocery,TR67387,C6000,UPI,Portujosp,1,20.13,2025-06-09 09:22:21
clothing,TR73633,C6150,UPI,Lakekdenamout,1,20.01,2025-03-27 15:41:15
clothing,TR69096,C5480,UPI,Grazyna,1,20.05,2025-07-05 00:55:33
entertainment,TR91067,C0500,UPI,Portvl,1,19.99,2025-07-08 04:08:59
grocery,TR51019,C4390,UPI,Shalonmou,1,20.1,2025-08-03 08:43:13
clothing,TR34800,C1050,UPI,Kertzmannmout,1,19.89,2025-06-26 16:51:31
grocery,TR78300,C2000,UPI,Southre,1,20.01,2025-04-01 05:24:52
electronics,TR37959,C8400,UPI,Lake,1,19.93,2025-04-25 00:28:43
grocery,TR97250,C8900,UPI,Northnmar,1,19.96,2025-07-23 16:05:06
electronics,TR54750,C9080,UPI,Easty,1,20.07,2025-05-13 19:47:57
electronics,TR49242,C0220,UPI,Lakeesybilhpf,1,20.12,2025-02-24 20:54:10
entertainment,TR14054,C6000,UPI,Yundth,1,20.05,2025-07-17 05:08:14
entertainment,TR94052,C6896,UPI,Leeb,1,19.94,2025-05-31 21:51:38
grocery,TR72105,C6200,UPI,Lakeks,1,19.97,2025-06-01 08:55:04
grocery,TR86524,C4090,UPI,Portid,1,20.07,2025-05-21 20:02:31
grocery,TR61409,C8605,UPI,Newn,1,20.0,2025-04-04 13:56:28
grocery,TR98026,C4008,UPI,Newager,1,20.06,2025-04-14 18:34:49
electronics,TR33260,C7000,UPI,Takakopor,1,19.89,2025-07-10 06:24:06
entertainment,TR55295,C2605,UPI,Deana,1,19.91,2025-08-10 18:14:13
clothing,TR47028,C3420,UPI,Nort,1,19.93,2025-03-22 19:16:26
clothing,TR62072,C1000,UPI,Bobbie,1,19.87,2025-03-06 22:11:19
clothing,TR28227,C3006,UPI,Lemkesideywxu,1,20.13,2025-06-23 10:24:14
electronics,TR43205,C1030,UPI,Lakecchinaudi,1,20.15,2025-07-14 00:38:30
entertainment,TR33177,C4338,UPI,Dallasvie,1,20.2,2025-06-07 07:49:20
entertainment,TR92540,C0338,UPI,Marksbo,1,20.39,2025-04-15 05:53:17
grocery,TR05591,C7208,UPI,Maryaliceland,1,20.27,2025-04-25 21:20:45
grocery,TR03837,C9040,UPI,Emmetttownqia,1,20.36,2025-08-03 06:50:45
clothing,TR35458,C3060,UPI,Mosciskifurtd,1,20.41,2025-02-27 20:03:10
grocery,TR06547,C3923,UPI,Marvinbur,1,20.32,2025-03-13 22:07:30
clothing,TR97031,C1000,UPI,Portaalfonsol,1,20.24,2025-07-10 05:40:01
clothing,TR80468,C6400,UPI,Portyflor,1,20.21,2025-07-30 21:28:48
grocery,TR74998,C6013,UPI,Ellie,1,20.44,2025-04-28 02:24:09
clothing,TR96876,C3006,UPI,Florind,1,20.27,2025-06-10 05:09:42
grocery,TR93771,C2574,UPI,Kleinvi,1,20.4,2025-03-21 12:40:53
electronics,TR60373,C1800,UPI,Northkbrigida,1,20.41,2025-07-10 16:19:19
entertainment,TR66797,C4902,UPI,Suzypo,1,20.33,2025-03-05 05:11:32
entertainment,TR91349,C1009,UPI,Portuma,1,20.15,2025-03-27 13:43:20
electronics,TR06789,C1490,UPI,Westeadel,1,20.15,2025-07-25 06:52:53
clothing,TR91285,C5754,UPI,Schaef,1,20.14,2025-04-20 09:10:16
grocery,TR13118,C2360,UPI,North,1,20.18,2025-08-21 12:58:39
clothing,TR39393,C1020,UPI,Ellsworthside,1,20.21,2025-07-05 09:01:55
grocery,TR81683,C1020,UPI,Sout,1,20.33,2025-06-06 06:02:33
