merchant_category,transaction_id,customer_id,payment_method,location,is_fraud,transaction_amount,timestamp
Restaurant,TRANS06,C7808,Debit Card,Bangalore,0,115.52,2025-04-14 13:58:38
Restaurant,TRANS58,C8006,Debit Card,Bangalore,0,116.65,2025-05-05 06:13:23
Restaurant,TRANS29,C1700,Debit Card,Bangalore,0,116.93,2025-05-08 03:01:50
Restaurant,TRANS04,C1000,Debit Card,Bangalore,0,116.0,2025-06-13 10:30:26
Restaurant,TRANS67,C3015,Debit Card,Bangalore,0,117.25,2025-07-09 10:41:54
Restaurant,TRANS64,C4580,Debit Card,Bangalore,0,118.96,2025-03-16 01:28:17
Restaurant,TRANS23,C2900,Debit Card,Bangalore,0,119.37,2025-03-21 01:57:41
Restaurant,TRANS29,C8360,Debit Card,Bangalore,0,119.69,2025-05-16 13:23:39
Restaurant,TRANS08,C2076,Debit Card,Bangalore,0,115.52,2025-06-24 02:03:48
Restaurant,TRANS69,C9759,Debit Card,Bangalore,0,123.4,2025-05-15 14:44:42
Restaurant,TRANS50,C8400,Debit Card,Bangalore,0,125.33,2025-03-12 20:41:59
Restaurant,TRANS07,C3067,Debit Card,Bangalore,0,130.67,2025-08-19 13:21:04
Restaurant,TRANS85,C2020,Debit Card,Bangalore,0,131.25,2025-06-26 04:16:57
Restaurant,TRANS79,C1040,Debit Card,Bangalore,0,137.38,2025-07-29 20:47:23
Restaurant,TRANS51,C6004,Debit Card,Bangalore,0,131.28,2025-03-07 13:53:07
Restaurant,TRANS09,C0909,Debit Card,Bangalore,0,130.9,2025-03-18 07:35:30
Restaurant,TRANS19,C7005,Debit Card,Bangalore,0,137.65,2025-05-08 08:37:11
Restaurant,TRANS15,C8040,Debit Card,Bangalore,0,135.94,2025-07-10 19:26:08
Restaurant,TRANS37,C6084,Debit Card,Bangalore,0,127.99,2025-03-31 04:23:44
Restaurant,TRANS03,C9146,Debit Card,Bangalore,0,122.99,2025-03-04 10:07:12
Restaurant,TRANS13,C4010,Debit Card,Bangalore,0,122.26,2025-06-08 15:46:57
Restaurant,TRANS90,C7519,Debit Card,Bangalore,0,131.24,2025-06-20 19:14:02
Restaurant,TRANS43,C1002,Debit Card,Bangalore,0,135.53,2025-08-07 08:52:20
Restaurant,TRANS80,C9000,Debit Card,Bangalore,0,133.07,2025-07-15 06:27:08
Restaurant,TRANS51,C3060,Debit Card,Bangalore,0,134.12,2025-06-11 11:09:24
Restaurant,TRANS98,C4896,Debit Card,Bangalore,0,132.69,2025-06-27 02:19:59
Restaurant,TRANS54,C4093,Debit Card,Bangalore,0,121.77,2025-04-05 15:36:12
Restaurant,TRANS24,C4870,Debit Card,Bangalore,0,133.81,2025-06-06 22:17:52
Restaurant,TRANS21,C9300,Debit Card,Bangalore,0,136.34,2025-07-30 05:34:22
Restaurant,TRANS15,C5070,Debit Card,Bangalore,0,127.3,2025-05-04 12:37:26
Restaurant,TRANS75,C5600,Debit Card,Bangalore,0,133.48,2025-03-05 04:52:47
Restaurant,TRANS10,C1600,Debit Card,Bangalore,0,129.78,2025-07-15 17:46:21
Restaurant,TRANS26,C9280,Debit Card,Bangalore,0,131.89,2025-05-04 02:29:36
Restaurant,TRANS92,C5041,Debit Card,Bangalore,0,124.23,2025-05-30 21:59:54
Restaurant,TRANS98,C0003,Debit Card,Bangalore,0,137.62,2025-05-20 09:03:22
Restaurant,TRANS05,C0201,Debit Card,Bangalore,0,130.52,2025-05-15 21:19:48
Restaurant,TRANS78,C5913,Debit Card,Bangalore,0,124.89,2025-07-24 22:50:44
Restaurant,TRANS94,C3060,Debit Card,Bangalore,0,136.86,2025-07-05 19:48:56
Restaurant,TRANS89,C2013,Debit Card,Bangalore,0,123.84,2025-05-10 15:01:59
Restaurant,TRANS43,C0599,Debit Card,Bangalore,0,135.78,2025-03-01 18:10:12
Restaurant,TRANS19,C5008,Debit Card,Bangalore,0,126.1,2025-04-07 03:28:01
Restaurant,TRANS15,C5002,Debit Card,Bangalore,0,130.41,2025-03-01 20:02:12
Restaurant,TRANS39,C3074,Debit Card,Bangalore,0,121.95,2025-07-19 07:49:16
Restaurant,TRANS06,C0720,Debit Card,Bangalore,0,132.6,2025-08-14 23:59:28
Restaurant,TRANS32,C2931,Debit Card,Bangalore,0,134.45,2025-05-14 21:02:45
Restaurant,TRANS46,C6089,Debit Card,Bangalore,0,144.67,2025-03-13 11:14:00
Restaurant,TRANS70,C0900,Debit Card,Bangalore,0,155.88,2025-05-22 09:53:49
Restaurant,TRANS47,C5068,Debit Card,Bangalore,0,140.39,2025-08-12 09:52:20
Restaurant,TRANS88,C6004,Debit Card,Bangalore,0,158.13,2025-04-10 10:38:05
Restaurant,TRANS60,C7240,Debit Card,Bangalore,0,157.23,2025-04-09 23:31:34
